x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001494651288e+00,1.216205921176e-01,1.618245853422e+00,1.018710497965e+00,1.638792700138e+00,2.002994950098e-01
0,1,1.001594753264e+00,1.223415149110e-01,1.618243583185e+00,1.018232512374e+00,1.638040421799e+00,2.014061962582e-01
0,2,1.001718288943e+00,1.236395654483e-01,1.618236526689e+00,1.016962073685e+00,1.635928783595e+00,2.033025256239e-01
0,3,1.001850920506e+00,1.253155865122e-01,1.618224918219e+00,1.014929396726e+00,1.632520995415e+00,2.056580056468e-01
0,4,1.001991476114e+00,1.272027708045e-01,1.618209026309e+00,1.012249207744e+00,1.628032292105e+00,2.082144394721e-01
0,5,1.002140097905e+00,1.291982646538e-01,1.618189203830e+00,1.009074426072e+00,1.622729555041e+00,2.108282116240e-01
0,6,1.002297004845e+00,1.312515655448e-01,1.618165890512e+00,1.005583217157e+00,1.616910240873e+00,2.134491044590e-01
0,7,1.002462406359e+00,1.333419004331e-01,1.618139604312e+00,1.001967762031e+00,1.610888361342e+00,2.160810810944e-01
0,8,1.002636495403e+00,1.354616943653e-01,1.618110930319e+00,9.984224810516e-01,1.604978730760e+00,2.187528065657e-01
0,9,1.002819445854e+00,1.376081876219e-01,1.618080508087e+00,9.951325505005e-01,1.599480166113e+00,2.215014531249e-01
0,10,1.003011410181e+00,1.397800801669e-01,1.618049017662e+00,9.922634520526e-01,1.594659371548e+00,2.243647698820e-01
0,11,1.003212517163e+00,1.419764086608e-01,1.618017164595e+00,9.899520944425e-01,1.590736911981e+00,2.273769393220e-01
0,12,1.003422869617e+00,1.441962203990e-01,1.617985664252e+00,9.882998757270e-01,1.587876153000e+00,2.305659774479e-01
0,13,1.003642542139e+00,1.464384877355e-01,1.617955225747e+00,9.873679089694e-01,1.586175635755e+00,2.339518629367e-01
0,14,1.003871578879e+00,1.487020857522e-01,1.617926535872e+00,9.871745203496e-01,1.585665094847e+00,2.375451843819e-01
0,15,1.004109991358e+00,1.509857848004e-01,1.617900243387e+00,9.876950463245e-01,1.586305167855e+00,2.413462909041e-01
0,16,1.004357756363e+00,1.532882463325e-01,1.617876944056e+00,9.888638960842e-01,1.587990740488e+00,2.453449798783e-01
0,17,1.004614813915e+00,1.556080195698e-01,1.617857166792e+00,9.905787919582e-01,1.590557783801e+00,2.495207585203e-01
0,18,1.004881065358e+00,1.579435385651e-01,1.617841361271e+00,9.927070375782e-01,1.593793439310e+00,2.538437030054e-01
0,19,1.005156371571e+00,1.602931196208e-01,1.617829887337e+00,9.950935795495e-01,1.597448973691e+00,2.582759149286e-01
0,20,1.005440551329e+00,1.626549590948e-01,1.617823006483e+00,9.975705193306e-01,1.601255050805e+00,2.627735403772e-01
0,21,1.005733379845e+00,1.650271316420e-01,1.617820875628e+00,9.999676046688e-01,1.604938565488e+00,2.672892727688e-01
0,22,1.006034587491e+00,1.674075889396e-01,1.617823543385e+00,1.002123101387e+00,1.608240078359e+00,2.717752108202e-01
0,23,1.006343858742e+00,1.697941589463e-01,1.617830948895e+00,1.003894341302e+00,1.610930723416e+00,2.761858942773e-01
0,24,1.006660831350e+00,1.721845457424e-01,1.617842923281e+00,1.005167187723e+00,1.612827373782e+00,2.804813009315e-01
0,25,1.006985095767e+00,1.745763299990e-01,1.617859193674e+00,1.005863679095e+00,1.613804882164e+00,2.846295675966e-01
0,26,1.007316194833e+00,1.769669701180e-01,1.617879389694e+00,1.005947215870e+00,1.613804380440e+00,2.886092017568e-01
0,27,1.007653623757e+00,1.793538040705e-01,1.617903052221e+00,1.005424841952e+00,1.612836921415e+00,2.924105822386e-01
0,28,1.007996830387e+00,1.817340518455e-01,1.617929644200e+00,1.004346420196e+00,1.610982143404e+00,2.960366041309e-01
0,29,1.008345215795e+00,1.841048176200e-01,1.617958563215e+00,1.002800778312e+00,1.608382081993e+00,2.995023972580e-01
0,30,1.008698135178e+00,1.864630852973e-01,1.617989155479e+00,1.000909167903e+00,1.605230681516e+00,3.028341218938e-01
0,31,1.009054899090e+00,1.888056664106e-01,1.618020730907e+00,9.988165983593e-01,1.601759920059e+00,3.060668692745e-01
0,32,1.009414775013e+00,1.911288565287e-01,1.618052578882e+00,9.966817522639e-01,1.598223757518e+00,3.092414363219e-01
0,33,1.009776989289e+00,1.934264694544e-01,1.618083984341e+00,9.946662486660e-01,1.594881557211e+00,3.123980605991e-01
0,34,1.010140729566e+00,1.956796469432e-01,1.618114243823e+00,9.929239997702e-01,1.591984295891e+00,3.155568563738e-01
