x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001470753243e+00,2.272584901000e-01,1.618033988750e+00,1.000000000000e+00,1.578749215246e+00,3.650911272226e-01
0,1,1.001581462112e+00,2.293672365052e-01,1.618033988750e+00,1.000000000000e+00,1.578150260377e+00,3.684602221475e-01
0,2,1.001705564478e+00,2.325630945468e-01,1.618033988750e+00,1.000000000000e+00,1.577160052632e+00,3.735481554062e-01
0,3,1.001837380382e+00,2.361390226386e-01,1.618033988750e+00,1.000000000000e+00,1.576021554069e+00,3.792354635823e-01
0,4,1.001976973412e+00,2.398403415608e-01,1.618033988750e+00,1.000000000000e+00,1.574826491380e+00,3.851198649242e-01
0,5,1.002124576100e+00,2.436045295079e-01,1.618033988750e+00,1.000000000000e+00,1.573597449107e+00,3.911026708417e-01
0,6,1.002280412512e+00,2.474193928295e-01,1.618033988750e+00,1.000000000000e+00,1.572338469173e+00,3.971646214714e-01
0,7,1.002444692179e+00,2.512822730938e-01,1.618033988750e+00,1.000000000000e+00,1.571050004688e+00,4.033014910559e-01
0,8,1.002617607841e+00,2.551918336668e-01,1.618033988750e+00,1.000000000000e+00,1.569731993226e+00,4.095111344232e-01
0,9,1.002799333241e+00,2.591467728124e-01,1.618033988750e+00,1.000000000000e+00,1.568384348980e+00,4.157914590003e-01
0,10,1.002990020906e+00,2.631456533016e-01,1.618033988750e+00,1.000000000000e+00,1.567007031154e+00,4.221401563431e-01
0,11,1.003189799905e+00,2.671868778048e-01,1.618033988750e+00,1.000000000000e+00,1.565600056385e+00,4.285546632233e-01
0,12,1.003398773594e+00,2.712686804267e-01,1.618033988750e+00,1.000000000000e+00,1.564163505219e+00,4.350321481349e-01
0,13,1.003617017377e+00,2.753891199533e-01,1.618033988750e+00,1.000000000000e+00,1.562697528336e+00,4.415695005263e-01
0,14,1.003844576496e+00,2.795460734818e-01,1.618033988750e+00,1.000000000000e+00,1.561202353054e+00,4.481633206769e-01
0,15,1.004081463864e+00,2.837372303795e-01,1.618033988750e+00,1.000000000000e+00,1.559678290144e+00,4.548099101429e-01
0,16,1.004327657967e+00,2.879600866332e-01,1.618033988750e+00,1.000000000000e+00,1.558125740932e+00,4.615052628778e-01
0,17,1.004583100847e+00,2.922119396610e-01,1.618033988750e+00,1.000000000000e+00,1.556545204644e+00,4.682450571502e-01
0,18,1.004847696198e+00,2.964898836619e-01,1.618033988750e+00,1.000000000000e+00,1.554937285944e+00,4.750246483860e-01
0,19,1.005121307589e+00,3.007908055830e-01,1.618033988750e+00,1.000000000000e+00,1.553302702621e+00,4.818390630676e-01
0,20,1.005403756824e+00,3.051113817832e-01,1.618033988750e+00,1.000000000000e+00,1.551642293344e+00,4.886829938233e-01
0,21,1.005694822489e+00,3.094480754772e-01,1.618033988750e+00,1.000000000000e+00,1.549957025414e+00,4.955507958429e-01
0,22,1.005994238674e+00,3.137971350406e-01,1.618033988750e+00,1.000000000000e+00,1.548248002428e+00,5.024364847518e-01
0,23,1.006301693915e+00,3.181545932572e-01,1.618033988750e+00,1.000000000000e+00,1.546516471756e+00,5.093337360751e-01
0,24,1.006616830355e+00,3.225162675903e-01,1.618033988750e+00,1.000000000000e+00,1.544763831718e+00,5.162358864197e-01
0,25,1.006939243164e+00,3.268777615536e-01,1.618033988750e+00,1.000000000000e+00,1.542991638365e+00,5.231359364917e-01
0,26,1.007268480215e+00,3.312344672551e-01,1.618033988750e+00,1.000000000000e+00,1.541201611718e+00,5.300265560615e-01
