x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001498230069e+00,1.151259485681e-01,1.618033988750e+00,1.000000000000e+00,1.609731268239e+00,1.861449541919e-01
0,1,1.001596757356e+00,1.157775141641e-01,1.618033988750e+00,1.000000000000e+00,1.609767994126e+00,1.872121762198e-01
0,2,1.001720065290e+00,1.169630007582e-01,1.618033988750e+00,1.000000000000e+00,1.609743078743e+00,1.891436854665e-01
0,3,1.001852784817e+00,1.185129449566e-01,1.618033988750e+00,1.000000000000e+00,1.609661221530e+00,1.916638597147e-01
0,4,1.001993468957e+00,1.202770610511e-01,1.618033988750e+00,1.000000000000e+00,1.609546586868e+00,1.945305021795e-01
0,5,1.002142228846e+00,1.221560165474e-01,1.618033988750e+00,1.000000000000e+00,1.609417136622e+00,1.975837531197e-01
0,6,1.002299281026e+00,1.240971061504e-01,1.618033988750e+00,1.000000000000e+00,1.609282738662e+00,2.007388559509e-01
0,7,1.002464834720e+00,1.260768194520e-01,1.618033988750e+00,1.000000000000e+00,1.609147925301e+00,2.039580619268e-01
0,8,1.002639082860e+00,1.280859208788e-01,1.618033988750e+00,1.000000000000e+00,1.609014535316e+00,2.072266033144e-01
0,9,1.002822199320e+00,1.301209272052e-01,1.618033988750e+00,1.000000000000e+00,1.608883280387e+00,2.105389713772e-01
0,10,1.003014336551e+00,1.321803028260e-01,1.618033988750e+00,1.000000000000e+00,1.608754462902e+00,2.138927908504e-01
0,11,1.003215623289e+00,1.342630451395e-01,1.618033988750e+00,1.000000000000e+00,1.608628248085e+00,2.172865422150e-01
0,12,1.003426162275e+00,1.363682298599e-01,1.618033988750e+00,1.000000000000e+00,1.608504752194e+00,2.207188290853e-01
0,13,1.003646027992e+00,1.384948803959e-01,1.618033988750e+00,1.000000000000e+00,1.608384067248e+00,2.241881671120e-01
0,14,1.003875264443e+00,1.406419322651e-01,1.618033988750e+00,1.000000000000e+00,1.608266266866e+00,2.276929257696e-01
0,15,1.004113882962e+00,1.428082223079e-01,1.618033988750e+00,1.000000000000e+00,1.608151407225e+00,2.312313099997e-01
0,16,1.004361860107e+00,1.449924838514e-01,1.618033988750e+00,1.000000000000e+00,1.608039527008e+00,2.348013513804e-01
0,17,1.004619135628e+00,1.471933433301e-01,1.618033988750e+00,1.000000000000e+00,1.607930647282e+00,2.384009016009e-01
0,18,1.004885610556e+00,1.494093174210e-01,1.618033988750e+00,1.000000000000e+00,1.607824771542e+00,2.420276267330e-01
0,19,1.005161145412e+00,1.516388105432e-01,1.618033988750e+00,1.000000000000e+00,1.607721885958e+00,2.456790020657e-01
0,20,1.005445558569e+00,1.538801127314e-01,1.618033988750e+00,1.000000000000e+00,1.607621959849e+00,2.493523075284e-01
0,21,1.005738624791e+00,1.561313979238e-01,1.618033988750e+00,1.000000000000e+00,1.607524946382e+00,2.530446237809e-01
0,22,1.006040073959e+00,1.583907227118e-01,1.618033988750e+00,1.000000000000e+00,1.607430783507e+00,2.567528290548e-01
0,23,1.006349590010e+00,1.606560255969e-01,1.618033988750e+00,1.000000000000e+00,1.607339395108e+00,2.604735968365e-01
0,24,1.006666810115e+00,1.629251268026e-01,1.618033988750e+00,1.000000000000e+00,1.607250692371e+00,2.642033944798e-01
0,25,1.006991324103e+00,1.651957286845e-01,1.618033988750e+00,1.000000000000e+00,1.607164575359e+00,2.679384828350e-01
0,26,1.007322674150e+00,1.674654167746e-01,1.618033988750e+00,1.000000000000e+00,1.607080934778e+00,2.716749169635e-01
0,27,1.007660354763e+00,1.697316614358e-01,1.618033988750e+00,1.000000000000e+00,1.606999653919e+00,2.754085479212e-01
0,28,1.008003813051e+00,1.719918197219e-01,1.618033988750e+00,1.000000000000e+00,1.606920610899e+00,2.791350249711e-01
0,29,1.008352449314e+00,1.742431345448e-01,1.618033988750e+00,1.000000000000e+00,1.606843681999e+00,2.828497935878e-01
0,30,1.008705617948e+00,1.764827130456e-01,1.618033988750e+00,1.000000000000e+00,1.606768751350e+00,2.865480601816e-01
0,31,1.009062628685e+00,1.787073798795e-01,1.618033988750e+00,1.000000000000e+00,1.606695757779e+00,2.902245560080e-01
0,32,1.009422748170e+00,1.809128509435e-01,1.618033988750e+00,1.000000000000e+00,1.606624944926e+00,2.938722095133e-01
0,33,1.009785201950e+00,1.830895254871e-01,1.618033988750e+00,1.000000000000e+00,1.606558135583e+00,2.974753864517e-01
0,34,1.010149177125e+00,1.852029451078e-01,1.618033988750e+00,1.000000000000e+00,1.606504710805e+00,3.009784991100e-01
0,35,1.010513826804e+00,1.871115649720e-01,1.618033988750e+00,1.000000000000e+00,1.606507048735e+00,3.041539115190e-01
0,36,1.010878280853e+00,1.882568242009e-01,1.618033988750e+00,1.000000000000e+00,1.606736940385e+00,3.061039389634e-01
0,37,1.011241678291e+00,1.866338726492e-01,1.618033988750e+00,1.000000000000e+00,1.607809394593e+00,3.036049835378e-01
0,38,1.011603267309e+00,1.758512519923e-01,1.618033988750e+00,1.000000000000e+00,1.611565563984e+00,2.863536262274e-01
0,39,1.011962690554e+00,1.381820477561e-01,1.618033988750e+00,1.000000000000e+00,1.621782496473e+00,2.255385556792e-01
0,40,1.012320720332e+00,3.198153450701e-02,1.618033988750e+00,1.000000000000e+00,1.637131731702e+00,5.237584318234e-02
0,41,1.012681037235e+00,-2.222381899939e-01,1.618033988750e+00,1.000000000000e+00,1.598254709236e+00,-3.611587584443e-01
0,42,1.013054364691e+00,-7.383397607730e-01,1.618033988750e+00,1.000000000000e+00,1.212298792648e+00,-1.103252157506e+00
0,43,1.013460352680e+00,-1.613824680978e+00,1.618033988750e+00,1.000000000000e+00,-7.053669689459e-02,-1.638295523719e+00
0,44,1.013895852083e+00,-2.831067320585e+00,1.618033988750e+00,1.000000000000e+00,-1.562057194860e+00,-5.012748381358e-01
0,45,1.014191253837e+00,-4.193539685020e+00,1.618033988750e+00,1.000000000000e+00,-8.137390350078e-01,1.425025049501e+00
0,46,1.014380577540e+00,-5.410909772165e+00,1.618033988750e+00,1.000000000000e+00,1.055497879622e+00,1.256899880058e+00
0,47,1.014671941454e+00,-6.286649455186e+00,1.618033988750e+00,1.000000000000e+00,1.641763837808e+00,-5.687335675098e-03
0,48,1.014973529824e+00,-6.803132839451e+00,1.618033988750e+00,1.000000000000e+00,1.425228986435e+00,-8.159324270313e-01
0,49,1.015252935778e+00,-7.057861030987e+00,1.618033988750e+00,1.000000000000e+00,1.173961933243e+00,-1.149052595668e+00
0,50,1.015510899500e+00,-7.164696134949e+00,1.618033988750e+00,1.000000000000e+00,1.045008348867e+00,-1.268005335671e+00
0,51,1.015750707023e+00,-7.203125390649e+00,1.618033988750e+00,1.000000000000e+00,9.957553841005e-01,-1.307526852809e+00
0,52,1.015973579380e+00,-7.214792727204e+00,1.618033988750e+00,1.000000000000e+00,9.806477236481e-01,-1.319344831125e+00
0,53,1.016179518091e+00,-7.217424129008e+00,1.618033988750e+00,1.000000000000e+00,9.773706798706e-01,-1.322188693047e+00
0,54,1.016368057179e+00,-7.217409990188e+00,1.618033988750e+00,1.000000000000e+00,9.775707160358e-01,-1.322420186652e+00
0,55,1.016538605322e+00,-7.216753962235e+00,1.618033988750e+00,1.000000000000e+00,9.786022336496e-01,-1.322000384920e+00
