x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001461578578e+00,3.967855334553e-01,1.618292521409e+00,1.003714150962e+00,1.500297358534e+00,6.286385199517e-01
0,1,1.001576137532e+00,4.017624605778e-01,1.618289660192e+00,1.003631126343e+00,1.497194862354e+00,6.361165914149e-01
0,2,1.001700024259e+00,4.079059076614e-01,1.618281019330e+00,1.003378715321e+00,1.493059818729e+00,6.452165280933e-01
0,3,1.001831435297e+00,4.142644323481e-01,1.618266832380e+00,1.002973719479e+00,1.488508260855e+00,6.545129376001e-01
0,4,1.001970597209e+00,4.207188817107e-01,1.618247417484e+00,1.002438918614e+00,1.483649601797e+00,6.638368626834e-01
0,5,1.002117746245e+00,4.272582263561e-01,1.618223209552e+00,1.001804118937e+00,1.478535082582e+00,6.731869631607e-01
0,6,1.002273106299e+00,4.338803188896e-01,1.618194750992e+00,1.001104407883e+00,1.473217697678e+00,6.825799139367e-01
0,7,1.002436886677e+00,4.405833444355e-01,1.618162679646e+00,1.000378032672e+00,1.467754420117e+00,6.920364583446e-01
0,8,1.002609279964e+00,4.473652733732e-01,1.618127714578e+00,9.996641103603e-01,1.462203094225e+00,7.015791827338e-01
0,9,1.002790459849e+00,4.542238231762e-01,1.618090640030e+00,9.990003146390e-01,1.456619020071e+00,7.112308949751e-01
0,10,1.002980578908e+00,4.611564456340e-01,1.618052287900e+00,9.984206804831e-01,1.451051756611e+00,7.210129814276e-01
0,11,1.003179766370e+00,4.681603152741e-01,1.618013519125e+00,9.979536563322e-01,1.445542349516e+00,7.309438056130e-01
0,12,1.003388125873e+00,4.752323180802e-01,1.617975204378e+00,9.976205151022e-01,1.440121142176e+00,7.410372444092e-01
0,13,1.003605733231e+00,4.823690405673e-01,1.617938204512e+00,9.974342117562e-01,1.434806288357e+00,7.513014517287e-01
0,14,1.003832634231e+00,4.895667593159e-01,1.617903351196e+00,9.973987480911e-01,1.429603041200e+00,7.617379277751e-01
0,15,1.004068842473e+00,4.968214310746e-01,1.617871428170e+00,9.975090763025e-01,1.424503847513e+00,7.723409559911e-01
0,16,1.004314337276e+00,5.041286835470e-01,1.617843153556e+00,9.977515429632e-01,1.419489230590e+00,7.830974503553e-01
0,17,1.004569061671e+00,5.114838069853e-01,1.617819163621e+00,9.981048453184e-01,1.414529400785e+00,7.939872333121e-01
0,18,1.004832920494e+00,5.188817467163e-01,1.617799998372e+00,9.985414432155e-01,1.409586492184e+00,8.049837400150e-01
0,19,1.005105778617e+00,5.263170967306e-01,1.617786089324e+00,9.990293436236e-01,1.404617287723e+00,8.160551186201e-01
0,20,1.005387459313e+00,5.337840944693e-01,1.617777749702e+00,9.995341518007e-01,1.399576265581e+00,8.271656703157e-01
0,21,1.005677742796e+00,5.412766169426e-01,1.617775167335e+00,1.000021265210e+00,1.394418778720e+00,8.382775482105e-01
0,22,1.005976364951e+00,5.487881783170e-01,1.617778400387e+00,1.000458074822e+00,1.389104168961e+00,8.493526130348e-01
0,23,1.006283016265e+00,5.563119291031e-01,1.617787376040e+00,1.000816034945e+00,1.383598618624e+00,8.603543278754e-01
0,24,1.006597340995e+00,5.638406570781e-01,1.617801892139e+00,1.001072468218e+00,1.377877557516e+00,8.712495658079e-01
0,25,1.006918936576e+00,5.713667900654e-01,1.617821621796e+00,1.001211987394e+00,1.371927470960e+00,8.820102047946e-01
0,26,1.007247353292e+00,5.788824006941e-01,1.617846120801e+00,1.001227439434e+00,1.365746994116e+00,8.926143943692e-01
0,27,1.007582094229e+00,5.863792132450e-01,1.617874837701e+00,1.001120308914e+00,1.359347226621e+00,9.030473982522e-01
0,28,1.007922615519e+00,5.938486126851e-01,1.617907126302e+00,1.000900554421e+00,1.352751255626e+00,9.133019449358e-01
0,29,1.008268326884e+00,6.012816559742e-01,1.617942260289e+00,1.000585890499e+00,1.345992930151e+00,9.233780523083e-01
0,30,1.008618592505e+00,6.086690857152e-01,1.617979449644e+00,1.000200565589e+00,1.339114980725e+00,9.332823297174e-01
0,31,1.008972732204e+00,6.160013462007e-01,1.618017858479e+00,9.997737200403e-01,1.332166621089e+00,9.430267983167e-01
0,32,1.009330022957e+00,6.232686018906e-01,1.618056623869e+00,9.993374351753e-01,1.325200800259e+00,9.526273050077e-01
0,33,1.009689700736e+00,6.304607583341e-01,1.618094875261e+00,9.989246026217e-01,1.318271291327e+00,9.621016340872e-01
0,34,1.010050962682e+00,6.375674855256e-01,1.618131754021e+00,9.985667519763e-01,1.311429807638e+00,9.714674418822e-01
0,35,1.010412969607e+00,6.445782436626e-01,1.618166432682e+00,9.982919743179e-01,1.304723328189e+00,9.807401520451e-01
0,36,1.010774848807e+00,6.514823112063e-01,1.618198133462e+00,9.981230700555e-01,1.298191794143e+00,9.899309523956e-01
0,37,1.011135697199e+00,6.582688135537e-01,1.618226145634e+00,9.980760333919e-01,1.291866311213e+00,9.990450266255e-01
0,38,1.011494584753e+00,6.649266984138e-01,1.618249841383e+00,9.981589638836e-01,1.285768010599e+00,1.008080073554e+00
0,39,1.011850558239e+00,6.714431091856e-01,1.618268689794e+00,9.983714697288e-01,1.279909206900e+00,1.017023235362e+00
0,40,1.012202646207e+00,6.777627222885e-01,1.618282268660e+00,9.987045989185e-01,1.274335373945e+00,1.025798870515e+00
0,41,1.012549884110e+00,6.829738294922e-01,1.618290273868e+00,9.991413044476e-01,1.269969229517e+00,1.033236502825e+00
0,42,1.012891665370e+00,6.726561520121e-01,1.618292526156e+00,9.996574194788e-01,1.281657784860e+00,1.020951458261e+00
0,43,1.013231888769e+00,4.785426085090e-01,1.618288975091e+00,1.000223088770e+00,1.455834015113e+00,7.552282363957e-01
0,44,1.013605188561e+00,-1.138177288781e+00,1.618279700189e+00,1.000804575009e+00,6.882476702032e-01,-1.490375686992e+00
0,45,1.013898239177e+00,-7.784092405797e+00,1.618264909149e+00,1.001366334382e+00,1.147343888766e-01,-1.638986781452e+00
0,46,1.014193590399e+00,-9.401234289984e+00,1.618244933244e+00,1.001873236349e+00,-1.643832323016e+00,-3.870899949303e-02
0,47,1.014495198216e+00,-9.596191367351e+00,1.618220219957e+00,1.002292789940e+00,-1.621326168627e+00,2.806713891961e-01
0,48,1.014779798009e+00,-9.607773245668e+00,1.618191323039e+00,1.002597234500e+00,-1.618883375089e+00,2.995997742823e-01
0,49,1.015051216640e+00,-9.604245685977e+00,1.618158890180e+00,1.002765357867e+00,-1.620602665473e+00,2.940092206816e-01
0,50,1.015308904152e+00,-9.600027206123e+00,1.618123648579e+00,1.002783919898e+00,-1.622234939851e+00,2.872421092965e-01
0,51,1.015552013602e+00,-9.596027312359e+00,1.618086388715e+00,1.002648583654e+00,-1.623503075634e+00,2.807739206784e-01
0,52,1.015779716558e+00,-9.592298684851e+00,1.618047946685e+00,1.002364288792e+00,-1.624403612258e+00,2.746957024857e-01
0,53,1.015991227659e+00,-9.588851095004e+00,1.618009185487e+00,1.001945039502e+00,-1.624960546938e+00,2.690308161863e-01
0,54,1.016185810101e+00,-9.585692067899e+00,1.617970975665e+00,1.001413119370e+00,-1.625212022095e+00,2.638003733610e-01
0,55,1.016362779955e+00,-9.582828508894e+00,1.617934175758e+00,1.000797784599e+00,-1.625207690789e+00,2.590253826529e-01
0,56,1.016521510165e+00,-9.580266728512e+00,1.617899612979e+00,1.000133521621e+00,-1.625005817795e+00,2.547262870255e-01
0,57,1.016661434251e+00,-9.578012414419e+00,1.617868064570e+00,9.994579827290e-01,-1.624669856317e+00,2.509224319916e-01
0,58,1.016782049677e+00,-9.576070604501e+00,1.617840240253e+00,9.988097319885e-01,-1.624264704388e+00,2.476315753610e-01
0,59,1.016882920857e+00,-9.574445662850e+00,1.617816766184e+00,9.982259426096e-01,-1.623852875413e+00,2.448694576543e-01
0,60,1.016963681777e+00,-9.573141258845e+00,1.617798170777e+00,9.977401863093e-01,-1.623490817343e+00,2.426494431556e-01
0,61,1.017024038235e+00,-9.572160349502e+00,1.617784872724e+00,9.973804459256e-01,-1.623225600017e+00,2.409822357092e-01
0,62,1.017063771022e+00,-9.571505165205e+00,1.617777171496e+00,9.971674661443e-01,-1.623092165284e+00,2.398756692779e-01
0,63,1.017082796578e+00,-9.571177198910e+00,1.617775240547e+00,9.971135353449e-01,-1.623111386216e+00,2.393345835524e-01
0,64,1.017082796578e+00,-9.571177198910e+00,1.617779123368e+00,9.972217658826e-01,-1.623291461019e+00,2.393611363377e-01
0,65,1.017063771022e+00,-9.571505165205e+00,1.617788732506e+00,9.974859120258e-01,-1.623622103197e+00,2.399539884358e-01
0,66,1.017024038235e+00,-9.572160349502e+00,1.617803851542e+00,9.978907354035e-01,-1.624075142864e+00,2.411083578789e-01
0,67,1.016963681777e+00,-9.573141258845e+00,1.617824140015e+00,9.984128981534e-01,-1.624611510659e+00,2.428169437082e-01
0,68,1.016882920857e+00,-9.574445662850e+00,1.617849141145e+00,9.990223349115e-01,-1.625180919351e+00,2.450697205007e-01
0,69,1.016782049677e+00,-9.576070604501e+00,1.617878292197e+00,9.996840273498e-01,-1.625724720273e+00,2.478541659478e-01
0,70,1.016661434251e+00,-9.578012414419e+00,1.617910937230e+00,1.000360080405e+00,-1.626179353799e+00,2.511555666052e-01
