x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,92,1.010486320667e+00,2.262515982998e-01,1.618133160262e+00,9.941953215765e-01,1.584180053534e+00,3.646670169025e-01
0,93,1.010122401930e+00,2.237247361832e-01,1.618089787962e+00,9.958461581951e-01,1.587114121587e+00,3.611219387738e-01
0,94,1.009759172946e+00,2.211460048886e-01,1.618045132839e+00,9.976950442813e-01,1.590372438689e+00,3.575523697367e-01
0,95,1.009397480511e+00,2.185350541934e-01,1.618000196159e+00,9.996015175955e-01,1.593725998966e+00,3.539374154998e-01
0,96,1.009038135325e+00,2.158982086122e-01,1.617955987593e+00,1.001421522838e+00,1.596944806460e+00,3.502362500520e-01
0,97,1.008681909202e+00,2.132395617414e-01,1.617913502510e+00,1.003016976697e+00,1.599809012435e+00,3.464090938532e-01
0,98,1.008329532816e+00,2.105627900028e-01,1.617873699389e+00,1.004265163819e+00,1.602123223226e+00,3.424231942149e-01
0,99,1.007981693806e+00,2.078714167912e-01,1.617837477915e+00,1.005067297685e+00,1.603730058408e+00,3.382558027596e-01
0,100,1.007639035227e+00,2.051688429364e-01,1.617805658256e+00,1.005355591558e+00,1.604521432877e+00,3.338960412534e-01
0,101,1.007302154322e+00,2.024583456415e-01,1.617778962037e+00,1.005098265651e+00,1.604446572216e+00,3.293458374898e-01
0,102,1.006971601633e+00,1.997430742168e-01,1.617757995511e+00,1.004302066391e+00,1.603516071184e+00,3.246199084260e-01
0,103,1.006647880418e+00,1.970260462344e-01,1.617743235336e+00,1.003012077895e+00,1.601801638717e+00,3.197448101884e-01
0,104,1.006331446389e+00,1.943101445107e-01,1.617735017350e+00,1.001308839308e+00,1.599431545795e+00,3.147571509491e-01
0,105,1.006022707737e+00,1.915981149280e-01,1.617733528635e+00,9.993030129810e-01,1.596582161510e+00,3.097011323811e-01
0,106,1.005722025447e+00,1.888925650563e-01,1.617738803089e+00,9.971280465724e-01,1.593466279083e+00,3.046256352681e-01
0,107,1.005429713875e+00,1.861959635325e-01,1.617750720623e+00,9.949314128751e-01,1.590319158978e+00,2.995810889712e-01
0,108,1.005146041577e+00,1.835106401449e-01,1.617769010004e+00,9.928650820284e-01,1.587383330622e+00,2.946163620256e-01
0,109,1.004871232371e+00,1.808387865724e-01,1.617793255273e+00,9.910758823573e-01,1.584893198391e+00,2.897758858819e-01
0,110,1.004605466607e+00,1.781824577253e-01,1.617822905553e+00,9.896963506516e-01,1.583060410750e+00,2.850971826185e-01
0,111,1.004348882631e+00,1.755435736309e-01,1.617857287997e+00,9.888365797526e-01,1.582060804820e+00,2.806089186397e-01
0,112,1.004101578420e+00,1.729239218126e-01,1.617895623523e+00,9.885774624495e-01,1.582023566461e+00,2.763295576882e-01
0,113,1.003863613370e+00,1.703251601053e-01,1.617937044933e+00,9.889656243355e-01,1.583023077558e+00,2.722666437062e-01
0,114,1.003635010204e+00,1.677488198575e-01,1.617980616946e+00,9.900102461071e-01,1.585073776127e+00,2.684167101184e-01
