x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001483271838e+00,1.513664101137e-01,1.618033988750e+00,1.000000000000e+00,1.601905868028e+00,2.443437145241e-01
0,1,1.001588436932e+00,1.524351589114e-01,1.618033988750e+00,1.000000000000e+00,1.601811998712e+00,2.460814477573e-01
0,2,1.001712449339e+00,1.542649983442e-01,1.618033988750e+00,1.000000000000e+00,1.601557301187e+00,2.490429245170e-01
0,3,1.001844737666e+00,1.565055457957e-01,1.618033988750e+00,1.000000000000e+00,1.601206720138e+00,2.526640244955e-01
0,4,1.001984858504e+00,1.589314849114e-01,1.618033988750e+00,1.000000000000e+00,1.600812924418e+00,2.565835887015e-01
0,5,1.002133017928e+00,1.614404628784e-01,1.618033988750e+00,1.000000000000e+00,1.600400733748e+00,2.606377149921e-01
0,6,1.002289439003e+00,1.639962739274e-01,1.618033988750e+00,1.000000000000e+00,1.599979065455e+00,2.647685019251e-01
0,7,1.002454331410e+00,1.665881251168e-01,1.618033988750e+00,1.000000000000e+00,1.599550559574e+00,2.689587562852e-01
0,8,1.002627888063e+00,1.692128493747e-01,1.618033988750e+00,1.000000000000e+00,1.599115917803e+00,2.732034961745e-01
0,9,1.002810282795e+00,1.718691115871e-01,1.618033988750e+00,1.000000000000e+00,1.598675349881e+00,2.775006713586e-01
0,10,1.003001668109e+00,1.745558838692e-01,1.618033988750e+00,1.000000000000e+00,1.598228961610e+00,2.818487214818e-01
0,11,1.003202172914e+00,1.772721048772e-01,1.618033988750e+00,1.000000000000e+00,1.597776842739e+00,2.862460300122e-01
0,12,1.003411900268e+00,1.800166108160e-01,1.618033988750e+00,1.000000000000e+00,1.597319084723e+00,2.906908130076e-01
0,13,1.003630925131e+00,1.827881199256e-01,1.618033988750e+00,1.000000000000e+00,1.596855784601e+00,2.951810933999e-01
0,14,1.003859292139e+00,1.855852263146e-01,1.618033988750e+00,1.000000000000e+00,1.596387046608e+00,2.997146901879e-01
0,15,1.004097013438e+00,1.884063954105e-01,1.618033988750e+00,1.000000000000e+00,1.595912983607e+00,3.042892101755e-01
0,16,1.004344066570e+00,1.912499598620e-01,1.618033988750e+00,1.000000000000e+00,1.595433718693e+00,3.089020404008e-01
0,17,1.004600392461e+00,1.941141157731e-01,1.618033988750e+00,1.000000000000e+00,1.594949386991e+00,3.135503410735e-01
0,18,1.004865893503e+00,1.969969193025e-01,1.618033988750e+00,1.000000000000e+00,1.594460137679e+00,3.182310390797e-01
0,19,1.005140431773e+00,1.998962836792e-01,1.618033988750e+00,1.000000000000e+00,1.593966136205e+00,3.229408221487e-01
0,20,1.005423827400e+00,2.028099766926e-01,1.618033988750e+00,1.000000000000e+00,1.593467566702e+00,3.276761337855e-01
0,21,1.005715857098e+00,2.057356187138e-01,1.618033988750e+00,1.000000000000e+00,1.592964634577e+00,3.324331690705e-01
0,22,1.006016252899e+00,2.086706813084e-01,1.618033988750e+00,1.000000000000e+00,1.592457569250e+00,3.372078714357e-01
0,23,1.006324701086e+00,2.116124864967e-01,1.618033988750e+00,1.000000000000e+00,1.591946627016e+00,3.419959305217e-01
0,24,1.006640841370e+00,2.145582067203e-01,1.618033988750e+00,1.000000000000e+00,1.591432093999e+00,3.467927812215e-01
0,25,1.006964266304e+00,2.175048655701e-01,1.618033988750e+00,1.000000000000e+00,1.590914289151e+00,3.515936040138e-01
0,26,1.007294520970e+00,2.204493393283e-01,1.618033988750e+00,1.000000000000e+00,1.590393567263e+00,3.563933266844e-01
0,27,1.007631102953e+00,2.233883593731e-01,1.618033988750e+00,1.000000000000e+00,1.589870321926e+00,3.611866275277e-01
0,28,1.007973462597e+00,2.263185154915e-01,1.618033988750e+00,1.000000000000e+00,1.589344988395e+00,3.659679401129e-01
0,29,1.008321003583e+00,2.292362601312e-01,1.618033988750e+00,1.000000000000e+00,1.588818046307e+00,3.707314596794e-01
0,30,1.008673083819e+00,2.321379135506e-01,1.618033988750e+00,1.000000000000e+00,1.588290022208e+00,3.754711511077e-01
0,31,1.009029016660e+00,2.350196691556e-01,1.618033988750e+00,1.000000000000e+00,1.587761492117e+00,3.801807573486e-01
0,32,1.009388072450e+00,2.378775923187e-01,1.618033988750e+00,1.000000000000e+00,1.587233086688e+00,3.848537976812e-01
