x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001479239632e+00,1.678553548521e-01,1.618033988750e+00,1.000000000000e+00,1.597652885644e+00,2.707219489827e-01
0,1,1.001586204115e+00,1.691340939298e-01,1.618033988750e+00,1.000000000000e+00,1.597475999368e+00,2.727938413061e-01
0,2,1.001710294929e+00,1.712626851828e-01,1.618033988750e+00,1.000000000000e+00,1.597089559988e+00,2.762278129866e-01
0,3,1.001842441133e+00,1.738046113546e-01,1.618033988750e+00,1.000000000000e+00,1.596592846007e+00,2.803235755301e-01
0,4,1.001982398126e+00,1.765157345097e-01,1.618033988750e+00,1.000000000000e+00,1.596049923975e+00,2.846908654926e-01
0,5,1.002130384418e+00,1.793009317612e-01,1.618033988750e+00,1.000000000000e+00,1.595486422433e+00,2.891777727597e-01
0,6,1.002286623656e+00,1.821314610879e-01,1.618033988750e+00,1.000000000000e+00,1.594910124973e+00,2.937384681809e-01
0,7,1.002451325508e+00,1.849998403057e-01,1.618033988750e+00,1.000000000000e+00,1.594322957504e+00,2.983610810415e-01
0,8,1.002624682840e+00,1.879038847268e-01,1.618033988750e+00,1.000000000000e+00,1.593725342766e+00,3.030421981756e-01
0,9,1.002806869459e+00,1.908424282691e-01,1.618033988750e+00,1.000000000000e+00,1.593117392692e+00,3.077800308133e-01
0,10,1.002998037874e+00,1.938143899667e-01,1.618033988750e+00,1.000000000000e+00,1.592499173493e+00,3.125729239341e-01
0,11,1.003198317042e+00,1.968185985949e-01,1.618033988750e+00,1.000000000000e+00,1.591870756387e+00,3.174190757204e-01
0,12,1.003407810111e+00,1.998537604468e-01,1.618033988750e+00,1.000000000000e+00,1.591232227261e+00,3.223164853764e-01
0,13,1.003626592175e+00,2.029184504446e-01,1.618033988750e+00,1.000000000000e+00,1.590583689740e+00,3.272629381225e-01
0,14,1.003854708056e+00,2.060111067359e-01,1.618033988750e+00,1.000000000000e+00,1.589925267506e+00,3.322559957118e-01
0,15,1.004092170132e+00,2.091300259419e-01,1.618033988750e+00,1.000000000000e+00,1.589257106711e+00,3.372929879597e-01
0,16,1.004338956234e+00,2.122733587398e-01,1.618033988750e+00,1.000000000000e+00,1.588579378611e+00,3.423710047843e-01
0,17,1.004595007627e+00,2.154391057911e-01,1.618033988750e+00,1.000000000000e+00,1.587892282424e+00,3.474868887895e-01
0,18,1.004860227103e+00,2.186251140714e-01,1.618033988750e+00,1.000000000000e+00,1.587196048391e+00,3.526372284841e-01
0,19,1.005134477192e+00,2.218290736596e-01,1.618033988750e+00,1.000000000000e+00,1.586490941042e+00,3.578183522432e-01
0,20,1.005417578536e+00,2.250485150499e-01,1.618033988750e+00,1.000000000000e+00,1.585777262628e+00,3.630263231222e-01
0,21,1.005709308422e+00,2.282808070495e-01,1.618033988750e+00,1.000000000000e+00,1.585055356702e+00,3.682569346361e-01
0,22,1.006009399509e+00,2.315231553258e-01,1.618033988750e+00,1.000000000000e+00,1.584325611803e+00,3.735057076164e-01
0,23,1.006317538771e+00,2.347726016657e-01,1.618033988750e+00,1.000000000000e+00,1.583588465213e+00,3.787678882593e-01
0,24,1.006633366660e+00,2.380260240096e-01,1.618033988750e+00,1.000000000000e+00,1.582844406732e+00,3.840384474781e-01
0,25,1.006956476531e+00,2.412801373208e-01,1.618033988750e+00,1.000000000000e+00,1.582093982418e+00,3.893120816655e-01
0,26,1.007286414321e+00,2.445314953466e-01,1.618033988750e+00,1.000000000000e+00,1.581337798237e+00,3.945832149710e-01
0,27,1.007622678515e+00,2.477764933239e-01,1.618033988750e+00,1.000000000000e+00,1.580576523556e+00,3.998460031894e-01
0,28,1.007964720409e+00,2.510113716798e-01,1.618033988750e+00,1.000000000000e+00,1.579810894406e+00,4.050943393479e-01
0,29,1.008311944679e+00,2.542322207662e-01,1.618033988750e+00,1.000000000000e+00,1.579041716450e+00,4.103218610677e-01
0,30,1.008663710267e+00,2.574349866574e-01,1.618033988750e+00,1.000000000000e+00,1.578269867581e+00,4.155219597530e-01
0,31,1.009019331591e+00,2.606154779365e-01,1.618033988750e+00,1.000000000000e+00,1.577496300116e+00,4.206877914994e-01
0,32,1.009378080091e+00,2.637693723803e-01,1.618033988750e+00,1.000000000000e+00,1.576722042990e+00,4.258122880063e-01
0,33,1.009739186102e+00,2.668922122186e-01,1.618033988750e+00,1.000000000000e+00,1.575948208793e+00,4.308881496624e-01
0,34,1.010101841064e+00,2.699792822878e-01,1.618033988750e+00,1.000000000000e+00,1.575176052100e+00,4.359076544047e-01
0,35,1.010465200083e+00,2.730244778366e-01,1.618033988750e+00,1.000000000000e+00,1.574407476915e+00,4.408608766720e-01
0,36,1.010828384985e+00,2.760114008126e-01,1.618033988750e+00,1.000000000000e+00,1.573649041364e+00,4.457216822020e-01
0,37,1.011190488938e+00,2.788515510210e-01,1.618033988750e+00,1.000000000000e+00,1.572940044259e+00,4.503505471845e-01
0,38,1.011550589434e+00,2.810095097432e-01,1.618033988750e+00,1.000000000000e+00,1.572524345470e+00,4.539054208090e-01
0,39,1.011907806311e+00,2.795617611878e-01,1.618033988750e+00,1.000000000000e+00,1.573735387636e+00,4.517878131575e-01
0,40,1.012261569485e+00,2.609070556662e-01,1.618033988750e+00,1.000000000000e+00,1.582442075697e+00,4.225009920880e-01
0,41,1.012612693734e+00,1.732882333012e-01,1.618033988750e+00,1.000000000000e+00,1.613903024387e+00,2.825038324609e-01
0,42,1.012966939087e+00,-1.351067378377e-01,1.618033988750e+00,1.000000000000e+00,1.624078527719e+00,-2.207688819936e-01
0,43,1.013343521917e+00,-9.694902922269e-01,1.618033988750e+00,1.000000000000e+00,9.275680865465e-01,-1.352030014915e+00
0,44,1.013766732827e+00,-2.615276875650e+00,1.618033988750e+00,1.000000000000e+00,-1.418315688052e+00,-8.240111189590e-01
0,45,1.014049027402e+00,-4.764862890878e+00,1.618033988750e+00,1.000000000000e+00,8.605789108765e-02,1.638507377320e+00
0,46,1.014271398695e+00,-6.410832041682e+00,1.618033988750e+00,1.000000000000e+00,1.627773746023e+00,-2.089159078999e-01
0,47,1.014596180279e+00,-7.245580540930e+00,1.618033988750e+00,1.000000000000e+00,9.382958464760e-01,-1.347078042856e+00
0,48,1.014889829288e+00,-7.554522454508e+00,1.618033988750e+00,1.000000000000e+00,4.844329843533e-01,-1.569045336264e+00
0,49,1.015162077151e+00,-7.642869646819e+00,1.618033988750e+00,1.000000000000e+00,3.441954733711e-01,-1.606099308147e+00
0,50,1.015417876712e+00,-7.662433389294e+00,1.618033988750e+00,1.000000000000e+00,3.127890942937e-01,-1.612931603339e+00
0,51,1.015658293099e+00,-7.664969890571e+00,1.618033988750e+00,1.000000000000e+00,3.087699783068e-01,-1.614101877674e+00
0,52,1.015882968026e+00,-7.664079258016e+00,1.618033988750e+00,1.000000000000e+00,3.102760486726e-01,-1.614183233280e+00
0,53,1.016091218202e+00,-7.662683673657e+00,1.618033988750e+00,1.000000000000e+00,3.125925412024e-01,-1.614079454291e+00
0,54,1.016282332573e+00,-7.661317030683e+00,1.618033988750e+00,1.000000000000e+00,3.148573286323e-01,-1.613954252737e+00
0,55,1.016455640047e+00,-7.660066111730e+00,1.618033988750e+00,1.000000000000e+00,3.169300448557e-01,-1.613834290669e+00
0,56,1.016610525128e+00,-7.658945405100e+00,1.618033988750e+00,1.000000000000e+00,3.187870488446e-01,-1.613723949601e+00
0,57,1.016746433413e+00,-7.657958913595e+00,1.618033988750e+00,1.000000000000e+00,3.204216491334e-01,-1.613624376562e+00
0,58,1.016862875172e+00,-7.657109058422e+00,1.618033988750e+00,1.000000000000e+00,3.218297332531e-01,-1.613536249167e+00
0,59,1.016959428334e+00,-7.656397811827e+00,1.618033988750e+00,1.000000000000e+00,3.230079412543e-01,-1.613460127482e+00
0,60,1.017035741341e+00,-7.655826819693e+00,1.618033988750e+00,1.000000000000e+00,3.239534693532e-01,-1.613396490256e+00
0,61,1.017091540180e+00,-7.655397407381e+00,1.618033988750e+00,1.000000000000e+00,3.246640632339e-01,-1.613345741946e+00
0,62,1.017126694193e+00,-7.655110574568e+00,1.618033988750e+00,1.000000000000e+00,3.251380478160e-01,-1.613308310564e+00
0,63,1.017141826212e+00,-7.654966990450e+00,1.618033988750e+00,1.000000000000e+00,3.253745305120e-01,-1.613285610124e+00
0,64,1.017141826212e+00,-7.654966990450e+00,1.618033988750e+00,1.000000000000e+00,3.253745305120e-01,-1.613285610124e+00
0,65,1.017126694193e+00,-7.655110574568e+00,1.618033988750e+00,1.000000000000e+00,3.251380478160e-01,-1.613308310564e+00
0,66,1.017091540180e+00,-7.655397407381e+00,1.618033988750e+00,1.000000000000e+00,3.246640632339e-01,-1.613345741946e+00
0,67,1.017035741341e+00,-7.655826819693e+00,1.618033988750e+00,1.000000000000e+00,3.239534693532e-01,-1.613396490256e+00
0,68,1.016959428334e+00,-7.656397811827e+00,1.618033988750e+00,1.000000000000e+00,3.230079412543e-01,-1.613460127482e+00
0,69,1.016862875172e+00,-7.657109058422e+00,1.618033988750e+00,1.000000000000e+00,3.218297332531e-01,-1.613536249167e+00
0,70,1.016746433413e+00,-7.657958913595e+00,1.618033988750e+00,1.000000000000e+00,3.204216491334e-01,-1.613624376562e+00
0,71,1.016610525128e+00,-7.658945405100e+00,1.618033988750e+00,1.000000000000e+00,3.187870488446e-01,-1.613723949601e+00
0,72,1.016455640047e+00,-7.660066111730e+00,1.618033988750e+00,1.000000000000e+00,3.169300448557e-01,-1.613834290669e+00
0,73,1.016282332573e+00,-7.661317030683e+00,1.618033988750e+00,1.000000000000e+00,3.148573286323e-01,-1.613954252737e+00
0,74,1.016091218202e+00,-7.662683673657e+00,1.618033988750e+00,1.000000000000e+00,3.125925412024e-01,-1.614079454291e+00
0,75,1.015882968026e+00,-7.664079258016e+00,1.618033988750e+00,1.000000000000e+00,3.102760486726e-01,-1.614183233280e+00
0,76,1.015658293099e+00,-7.664969890571e+00,1.618033988750e+00,1.000000000000e+00,3.087699783068e-01,-1.614101877674e+00
0,77,1.015417876712e+00,-7.662433389294e+00,1.618033988750e+00,1.000000000000e+00,3.127890942937e-01,-1.612931603339e+00
0,78,1.015162077151e+00,-7.642869646819e+00,1.618033988750e+00,1.000000000000e+00,3.441954733711e-01,-1.606099308147e+00
0,79,1.014889829288e+00,-7.554522454508e+00,1.618033988750e+00,1.000000000000e+00,4.844329843533e-01,-1.569045336264e+00
0,80,1.014596180279e+00,-7.245580540930e+00,1.618033988750e+00,1.000000000000e+00,9.382958464760e-01,-1.347078042856e+00
0,81,1.014271398695e+00,-6.410832041682e+00,1.618033988750e+00,1.000000000000e+00,1.627773746023e+00,-2.089159078999e-01
0,82,1.014049027402e+00,-4.764862890878e+00,1.618033988750e+00,1.000000000000e+00,8.605789108765e-02,1.638507377320e+00
0,83,1.013766732827e+00,-2.615276875650e+00,1.618033988750e+00,1.000000000000e+00,-1.418315688052e+00,-8.240111189590e-01
0,84,1.013343521917e+00,-9.694902922269e-01,1.618033988750e+00,1.000000000000e+00,9.275680865465e-01,-1.352030014915e+00
0,85,1.012966939087e+00,-1.351067378377e-01,1.618033988750e+00,1.000000000000e+00,1.624078527719e+00,-2.207688819936e-01
0,86,1.012612693734e+00,1.732882333012e-01,1.618033988750e+00,1.000000000000e+00,1.613903024387e+00,2.825038324609e-01
0,87,1.012261569485e+00,2.609070556662e-01,1.618033988750e+00,1.000000000000e+00,1.582442075697e+00,4.225009920880e-01
0,88,1.011907806311e+00,2.795617611878e-01,1.618033988750e+00,1.000000000000e+00,1.573735387636e+00,4.517878131575e-01
0,89,1.011550589434e+00,2.810095097432e-01,1.618033988750e+00,1.000000000000e+00,1.572524345470e+00,4.539054208090e-01
0,90,1.011190488938e+00,2.788515510210e-01,1.618033988750e+00,1.000000000000e+00,1.572940044259e+00,4.503505471845e-01
0,91,1.010828384985e+00,2.760114008126e-01,1.618033988750e+00,1.000000000000e+00,1.573649041364e+00,4.457216822020e-01
0,92,1.010465200083e+00,2.730244778366e-01,1.618033988750e+00,1.000000000000e+00,1.574407476915e+00,4.408608766720e-01
0,93,1.010101841064e+00,2.699792822878e-01,1.618033988750e+00,1.000000000000e+00,1.575176052100e+00,4.359076544047e-01
0,94,1.009739186102e+00,2.668922122186e-01,1.618033988750e+00,1.000000000000e+00,1.575948208793e+00,4.308881496624e-01
0,95,1.009378080091e+00,2.637693723803e-01,1.618033988750e+00,1.000000000000e+00,1.576722042990e+00,4.258122880063e-01
0,96,1.009019331591e+00,2.606154779365e-01,1.618033988750e+00,1.000000000000e+00,1.577496300116e+00,4.206877914994e-01
0,97,1.008663710267e+00,2.574349866574e-01,1.618033988750e+00,1.000000000000e+00,1.578269867581e+00,4.155219597530e-01
0,98,1.008311944679e+00,2.542322207662e-01,1.618033988750e+00,1.000000000000e+00,1.579041716450e+00,4.103218610677e-01
0,99,1.007964720409e+00,2.510113716798e-01,1.618033988750e+00,1.000000000000e+00,1.579810894406e+00,4.050943393479e-01
0,100,1.007622678515e+00,2.477764933239e-01,1.618033988750e+00,1.000000000000e+00,1.580576523556e+00,3.998460031894e-01
0,101,1.007286414321e+00,2.445314953466e-01,1.618033988750e+00,1.000000000000e+00,1.581337798237e+00,3.945832149710e-01
0,102,1.006956476531e+00,2.412801373208e-01,1.618033988750e+00,1.000000000000e+00,1.582093982418e+00,3.893120816655e-01
0,103,1.006633366660e+00,2.380260240096e-01,1.618033988750e+00,1.000000000000e+00,1.582844406732e+00,3.840384474781e-01
0,104,1.006317538771e+00,2.347726016657e-01,1.618033988750e+00,1.000000000000e+00,1.583588465213e+00,3.787678882593e-01
0,105,1.006009399509e+00,2.315231553258e-01,1.618033988750e+00,1.000000000000e+00,1.584325611803e+00,3.735057076164e-01
0,106,1.005709308422e+00,2.282808070495e-01,1.618033988750e+00,1.000000000000e+00,1.585055356702e+00,3.682569346361e-01
0,107,1.005417578536e+00,2.250485150499e-01,1.618033988750e+00,1.000000000000e+00,1.585777262628e+00,3.630263231222e-01
0,108,1.005134477192e+00,2.218290736596e-01,1.618033988750e+00,1.000000000000e+00,1.586490941042e+00,3.578183522432e-01
