x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001466265294e+00,2.872798566383e-01,1.618416567620e+00,1.006839250407e+00,1.564997359369e+00,4.623828663884e-01
0,1,1.001578897373e+00,2.903247029049e-01,1.618412383694e+00,1.006688426796e+00,1.563519782296e+00,4.671272370526e-01
0,2,1.001702923162e+00,2.945793491577e-01,1.618399602067e+00,1.006223438510e+00,1.560977857976e+00,4.736112765244e-01
0,3,1.001834547573e+00,2.991560222941e-01,1.618378613119e+00,1.005477058380e+00,1.557822167568e+00,4.804506667050e-01
0,4,1.001973935566e+00,3.038361534146e-01,1.618349888010e+00,1.004491807052e+00,1.554220906993e+00,4.873174090724e-01
0,5,1.002121322457e+00,3.085830406512e-01,1.618314068794e+00,1.003322873383e+00,1.550277918317e+00,4.941756734254e-01
0,6,1.002276932269e+00,3.133911797034e-01,1.618271956429e+00,1.002035086776e+00,1.546097013220e+00,5.010447928621e-01
0,7,1.002440974430e+00,3.182588657238e-01,1.618224493125e+00,1.000698962622e+00,1.541788560160e+00,5.079548433966e-01
0,8,1.002613641601e+00,3.231846138137e-01,1.618172741503e+00,9.993864531941e-01,1.537464531768e+00,5.149391455365e-01
0,9,1.002795107497e+00,3.281667863732e-01,1.618117861020e+00,9.981666919036e-01,1.533232070465e+00,5.220315716690e-01
0,10,1.002985524664e+00,3.332035539625e-01,1.618061082185e+00,9.971019903812e-01,1.529187340961e+00,5.292643043808e-01
0,11,1.003185022239e+00,3.382928845712e-01,1.618003679098e+00,9.962443183366e-01,1.525410170611e+00,5.366657012527e-01
0,12,1.003393703707e+00,3.434325350962e-01,1.617946940929e+00,9.956324564004e-01,1.521959778068e+00,5.442583501050e-01
0,13,1.003611644659e+00,3.486200431968e-01,1.617892142968e+00,9.952899663596e-01,1.518871803766e+00,5.520574250546e-01
0,14,1.003838890587e+00,3.538527194835e-01,1.617840517889e+00,9.952240748786e-01,1.516156776900e+00,5.600694407513e-01
0,15,1.004075454723e+00,3.591276401167e-01,1.617793227884e+00,9.954255181936e-01,1.513800076016e+00,5.682914831088e-01
0,16,1.004321315936e+00,3.644416398980e-01,1.617751338314e+00,9.958693473612e-01,1.511763365025e+00,5.767109724673e-01
0,17,1.004576416728e+00,3.697913059460e-01,1.617715793486e+00,9.965166466100e-01,1.509987413747e+00,5.853059895180e-01
0,18,1.004840661324e+00,3.751729720507e-01,1.617687395125e+00,9.973170711874e-01,1.508396142036e+00,5.940461653684e-01
0,19,1.005113913898e+00,3.805827138018e-01,1.617666784064e+00,9.982120663319e-01,1.506901659988e+00,6.028941050553e-01
0,20,1.005395996938e+00,3.860163445918e-01,1.617654425570e+00,9.991385871363e-01,1.505410016037e+00,6.118072795213e-01
0,21,1.005686689789e+00,3.914694125940e-01,1.617650598687e+00,1.000033102806e+00,1.503827313840e+00,6.207402864354e-01
0,22,1.005985727377e+00,3.969371988165e-01,1.617655389834e+00,1.000835641891e+00,1.502065823306e+00,6.296473480462e-01
0,23,1.006292799149e+00,4.024147163319e-01,1.617668690818e+00,1.001493621612e+00,1.500049696833e+00,6.384848880248e-01
0,24,1.006607548234e+00,4.078967107812e-01,1.617690201321e+00,1.001965208152e+00,1.497719913924e+00,6.472140126687e-01
0,25,1.006929570861e+00,4.133776622463e-01,1.617719435788e+00,1.002221978089e+00,1.495038118838e+00,6.558027181134e-01
0,26,1.007258416028e+00,4.188517885799e-01,1.617755734550e+00,1.002250694178e+00,1.491989086416e+00,6.642276563673e-01
0,27,1.007593585464e+00,4.243130502758e-01,1.617798278924e+00,1.002054069022e+00,1.488581646326e+00,6.724753193588e-01
0,28,1.007934533874e+00,4.297551569547e-01,1.617846109906e+00,1.001650462812e+00,1.484848007761e+00,6.805425400869e-01
0,29,1.008280669494e+00,4.351715755297e-01,1.617898150033e+00,1.001072539415e+00,1.480841544291e+00,6.884362598711e-01
0,30,1.008631354964e+00,4.405555401052e-01,1.617953227865e+00,1.000364980771e+00,1.476633210495e+00,6.961725657118e-01
0,31,1.008985908518e+00,4.459000636508e-01,1.618010104545e+00,9.995814256292e-01,1.472306857131e+00,7.037750564497e-01
0,32,1.009343605507e+00,4.511979514755e-01,1.618067501785e+00,9.987808489720e-01,1.467953781664e+00,7.112726455460e-01
0,33,1.009703680250e+00,4.564418165136e-01,1.618124130667e+00,9.980236298010e-01,1.463666891159e+00,7.186969477933e-01
0,34,1.010065328220e+00,4.616240963893e-01,1.618178720571e+00,9.973675661221e-01,1.459534864251e+00,7.260794244511e-01
0,35,1.010427708552e+00,4.667370716393e-01,1.618230047615e+00,9.968640886563e-01,1.455636681279e+00,7.334484745242e-01
0,36,1.010789946876e+00,4.717728729356e-01,1.618276961946e+00,9.965549021114e-01,1.452036859952e+00,7.408266445952e-01
0,37,1.011151138463e+00,4.767232589221e-01,1.618318413316e+00,9.964692488572e-01,1.448781832724e+00,7.482278214479e-01
